Time,Vehicle,Line,Action,Station,Turnover,Capacity
12:00:00,20,12,Leaving,A,22102,8
12:00:00,1,21,Leaving,C,22198,56
12:03:00,20,12,Arriving,B,22102,0
12:04:01,20,12,Leaving,B,22118,8
12:05:09,1,21,Arriving,C,22198,40
12:06:10,1,21,Leaving,C,22294,48
12:07:01,20,12,Arriving,C,22118,0
12:08:02,20,12,Leaving,C,22134,8
12:11:02,20,12,Arriving,A,22134,0
12:11:19,1,21,Arriving,C,22294,8
12:12:03,20,12,Leaving,A,22150,8
12:12:20,1,21,Leaving,C,22326,16
12:15:03,20,12,Arriving,B,22150,0
12:16:04,20,12,Leaving,B,22166,8
12:17:29,1,21,Arriving,C,22326,8
12:18:30,1,21,Leaving,C,22358,16
12:19:04,20,12,Arriving,C,22166,0
12:20:05,20,12,Leaving,C,22182,8
12:23:05,20,12,Arriving,A,22182,0
12:23:39,1,21,Arriving,C,22358,8
12:24:06,20,12,Leaving,A,22198,8
12:24:40,1,21,Leaving,C,22390,16
12:27:06,20,12,Arriving,B,22198,0
12:28:07,20,12,Leaving,B,22214,8
12:29:49,1,21,Arriving,C,22390,8
12:30:50,1,21,Leaving,C,22422,16
12:31:07,20,12,Arriving,C,22214,0
12:32:08,20,12,Leaving,C,22230,8
12:35:08,20,12,Arriving,A,22230,0
12:35:59,1,21,Arriving,C,22422,8
12:36:09,20,12,Leaving,A,22246,8
12:37:00,1,21,Leaving,C,22454,16
12:39:09,20,12,Arriving,B,22246,0
12:40:10,20,12,Leaving,B,22262,8
12:42:09,1,21,Arriving,C,22454,8
12:43:10,20,12,Arriving,C,22262,0
12:43:10,1,21,Leaving,C,22486,16
12:44:11,20,12,Leaving,C,22278,8
12:47:11,20,12,Arriving,A,22278,0
12:48:12,20,12,Leaving,A,22294,8
12:48:19,1,21,Arriving,C,22486,8
12:49:20,1,21,Leaving,C,22518,16
12:51:12,20,12,Arriving,B,22294,0
12:52:13,20,12,Leaving,B,22310,8
12:54:29,1,21,Arriving,C,22518,8
12:55:13,20,12,Arriving,C,22310,0
12:55:30,1,21,Leaving,C,22550,16
12:56:14,20,12,Leaving,C,22326,8
12:59:14,20,12,Arriving,A,22326,0
13:00:15,20,12,Leaving,A,22342,8
13:00:39,1,21,Arriving,C,22550,8
13:01:40,1,21,Leaving,C,22582,16
13:03:15,20,12,Arriving,B,22342,0
13:04:16,20,12,Leaving,B,22358,8
13:06:49,1,21,Arriving,C,22582,8
13:07:16,20,12,Arriving,C,22358,0
13:07:50,1,21,Leaving,C,22614,16
13:08:17,20,12,Leaving,C,22374,8
13:11:17,20,12,Arriving,A,22374,0
13:12:18,20,12,Leaving,A,22390,8
13:12:59,1,21,Arriving,C,22614,8
13:14:00,1,21,Leaving,C,22646,16
13:15:18,20,12,Arriving,B,22390,0
13:16:19,20,12,Leaving,B,22406,8
13:19:09,1,21,Arriving,C,22646,8
13:19:19,20,12,Arriving,C,22406,0
13:20:10,1,21,Leaving,C,22678,16
13:20:20,20,12,Leaving,C,22422,8
