Time,Vehicle,Line,Action,Station,Turnover,Capacity
12:00:00,20,12,Leaving,A,18,9
12:00:00,1,21,Leaving,C,66,33
12:03:00,20,12,Arriving,B,18,3
12:04:01,20,12,Leaving,B,38,13
12:05:09,1,21,Arriving,C,66,3
12:06:10,1,21,Leaving,C,72,6
12:07:01,20,12,Arriving,C,38,3
12:08:02,20,12,Leaving,C,58,13
12:11:02,20,12,Arriving,A,58,3
12:11:19,1,21,Arriving,C,72,3
12:12:03,20,12,Leaving,A,78,13
12:12:20,1,21,Leaving,C,78,6
12:15:03,20,12,Arriving,B,78,3
12:16:04,20,12,Leaving,B,98,13
12:17:29,1,21,Arriving,C,78,3
12:18:30,1,21,Leaving,C,84,6
12:19:04,20,12,Arriving,C,98,3
12:20:05,20,12,Leaving,C,118,13
12:23:05,20,12,Arriving,A,118,3
12:23:39,1,21,Arriving,C,84,3
12:24:06,20,12,Leaving,A,138,13
12:24:40,1,21,Leaving,C,90,6
12:27:06,20,12,Arriving,B,138,3
12:28:07,20,12,Leaving,B,158,13
12:29:49,1,21,Arriving,C,90,3
12:30:50,1,21,Leaving,C,96,6
12:31:07,20,12,Arriving,C,158,3
12:32:08,20,12,Leaving,C,178,13
12:35:08,20,12,Arriving,A,178,3
12:35:59,1,21,Arriving,C,96,3
12:36:09,20,12,Leaving,A,198,13
12:37:00,1,21,Leaving,C,102,6
12:39:09,20,12,Arriving,B,198,3
12:40:10,20,12,Leaving,B,218,13
12:42:09,1,21,Arriving,C,102,3
12:43:10,20,12,Arriving,C,218,3
12:43:10,1,21,Leaving,C,108,6
12:44:11,20,12,Leaving,C,238,13
12:47:11,20,12,Arriving,A,238,3
12:48:12,20,12,Leaving,A,258,13
12:48:19,1,21,Arriving,C,108,3
12:49:20,1,21,Leaving,C,114,6
12:51:12,20,12,Arriving,B,258,3
12:52:13,20,12,Leaving,B,278,13
12:54:29,1,21,Arriving,C,114,3
12:55:13,20,12,Arriving,C,278,3
12:55:30,1,21,Leaving,C,120,6
12:56:14,20,12,Leaving,C,298,13
12:59:14,20,12,Arriving,A,298,3
13:00:15,20,12,Leaving,A,318,13
13:00:39,1,21,Arriving,C,120,3
13:01:40,1,21,Leaving,C,126,6
13:03:15,20,12,Arriving,B,318,3
13:04:16,20,12,Leaving,B,338,13
13:06:49,1,21,Arriving,C,126,3
13:07:16,20,12,Arriving,C,338,3
13:07:50,1,21,Leaving,C,132,6
13:08:17,20,12,Leaving,C,358,13
13:11:17,20,12,Arriving,A,358,3
13:12:18,20,12,Leaving,A,378,13
13:12:59,1,21,Arriving,C,132,3
13:14:00,1,21,Leaving,C,138,6
13:15:18,20,12,Arriving,B,378,3
13:16:19,20,12,Leaving,B,398,13
13:19:09,1,21,Arriving,C,138,3
13:19:19,20,12,Arriving,C,398,3
13:20:10,1,21,Leaving,C,144,6
13:20:20,20,12,Leaving,C,418,13
