Time,Vehicle,Line,Action,Station,Turnover,Capacity
12:00:00,1,13,Leaving,C,112,56
12:00:00,1,9,Leaving,D,16,8
12:00:00,7,7,Leaving,F,112,56
12:01:43,1,13,Arriving,A,112,16
12:02:44,1,13,Leaving,A,192,56
12:03:00,1,9,Arriving,E,16,8
12:03:26,7,7,Arriving,H,112,16
12:04:01,1,9,Leaving,E,16,8
12:04:27,7,7,Leaving,H,192,56
12:06:10,1,13,Arriving,C,192,16
12:07:01,1,9,Arriving,D,16,8
12:07:11,1,13,Leaving,C,272,56
12:07:53,7,7,Arriving,F,192,16
12:08:02,1,9,Leaving,D,16,8
12:08:54,1,13,Arriving,A,272,16
12:08:54,7,7,Leaving,F,272,56
12:09:55,1,13,Leaving,A,352,56
12:11:02,1,9,Arriving,E,16,8
12:12:03,1,9,Leaving,E,16,8
12:12:20,7,7,Arriving,H,272,16
12:13:21,1,13,Arriving,C,352,16
12:13:21,7,7,Leaving,H,352,56
12:14:22,1,13,Leaving,C,432,56
12:15:03,1,9,Arriving,D,16,8
12:16:04,1,9,Leaving,D,16,8
12:16:05,1,13,Arriving,A,432,16
12:16:47,7,7,Arriving,F,352,16
12:17:06,1,13,Leaving,A,512,56
12:17:48,7,7,Leaving,F,432,56
12:19:04,1,9,Arriving,E,16,8
12:20:05,1,9,Leaving,E,16,8
12:20:32,1,13,Arriving,C,512,16
12:21:14,7,7,Arriving,H,432,16
12:21:33,1,13,Leaving,C,592,56
12:22:15,7,7,Leaving,H,512,56
12:23:05,1,9,Arriving,D,16,8
12:23:16,1,13,Arriving,A,592,16
12:24:06,1,9,Leaving,D,16,8
12:24:17,1,13,Leaving,A,672,56
12:25:41,7,7,Arriving,F,512,16
12:26:42,7,7,Leaving,F,592,56
12:27:06,1,9,Arriving,E,16,8
12:27:43,1,13,Arriving,C,672,16
12:28:07,1,9,Leaving,E,16,8
12:28:44,1,13,Leaving,C,752,56
12:30:08,7,7,Arriving,H,592,16
12:30:27,1,13,Arriving,A,752,16
12:31:07,1,9,Arriving,D,16,8
12:31:09,7,7,Leaving,H,672,56
12:31:28,1,13,Leaving,A,832,56
12:32:08,1,9,Leaving,D,16,8
12:34:35,7,7,Arriving,F,672,16
12:34:54,1,13,Arriving,C,832,16
12:35:08,1,9,Arriving,E,16,8
12:35:36,7,7,Leaving,F,752,56
12:35:55,1,13,Leaving,C,912,56
12:36:09,1,9,Leaving,E,16,8
12:37:38,1,13,Arriving,A,912,16
12:38:39,1,13,Leaving,A,992,56
12:39:02,7,7,Arriving,H,752,16
12:39:09,1,9,Arriving,D,16,8
12:40:03,7,7,Leaving,H,832,56
12:40:10,1,9,Leaving,D,16,8
12:42:05,1,13,Arriving,C,992,16
12:43:06,1,13,Leaving,C,1072,56
12:43:10,1,9,Arriving,E,16,8
12:43:29,7,7,Arriving,F,832,16
12:44:11,1,9,Leaving,E,16,8
12:44:30,7,7,Leaving,F,912,56
12:44:49,1,13,Arriving,A,1072,16
12:45:50,1,13,Leaving,A,1152,56
12:47:11,1,9,Arriving,D,16,8
12:47:56,7,7,Arriving,H,912,16
12:48:12,1,9,Leaving,D,16,8
12:48:57,7,7,Leaving,H,992,56
12:49:16,1,13,Arriving,C,1152,16
12:50:17,1,13,Leaving,C,1232,56
12:51:12,1,9,Arriving,E,16,8
12:52:00,1,13,Arriving,A,1232,16
12:52:13,1,9,Leaving,E,16,8
12:52:23,7,7,Arriving,F,992,16
12:53:01,1,13,Leaving,A,1312,56
12:53:24,7,7,Leaving,F,1072,56
12:55:13,1,9,Arriving,D,16,8
12:56:14,1,9,Leaving,D,16,8
12:56:27,1,13,Arriving,C,1312,16
12:56:50,7,7,Arriving,H,1072,16
12:57:28,1,13,Leaving,C,1392,56
12:57:51,7,7,Leaving,H,1152,56
12:59:11,1,13,Arriving,A,1392,16
12:59:14,1,9,Arriving,E,16,8
13:00:12,1,13,Leaving,A,1472,56
13:00:15,1,9,Leaving,E,16,8
13:01:17,7,7,Arriving,F,1152,16
13:02:18,7,7,Leaving,F,1232,56
13:03:15,1,9,Arriving,D,16,8
13:03:38,1,13,Arriving,C,1472,16
13:04:16,1,9,Leaving,D,16,8
13:04:39,1,13,Leaving,C,1552,56
13:05:44,7,7,Arriving,H,1232,16
13:06:22,1,13,Arriving,A,1552,16
13:06:45,7,7,Leaving,H,1312,56
13:07:16,1,9,Arriving,E,16,8
13:07:23,1,13,Leaving,A,1632,56
13:08:17,1,9,Leaving,E,16,8
13:10:11,7,7,Arriving,F,1312,16
13:10:49,1,13,Arriving,C,1632,16
13:11:12,7,7,Leaving,F,1392,56
13:11:17,1,9,Arriving,D,16,8
13:11:50,1,13,Leaving,C,1712,56
13:12:18,1,9,Leaving,D,16,8
13:13:33,1,13,Arriving,A,1712,16
13:14:34,1,13,Leaving,A,1792,56
13:14:38,7,7,Arriving,H,1392,16
13:15:18,1,9,Arriving,E,16,8
13:15:39,7,7,Leaving,H,1472,56
13:16:19,1,9,Leaving,E,16,8
13:18:00,1,13,Arriving,C,1792,16
13:19:01,1,13,Leaving,C,1872,56
13:19:05,7,7,Arriving,F,1472,16
13:19:19,1,9,Arriving,D,16,8
13:20:06,7,7,Leaving,F,1552,56
13:20:20,1,9,Leaving,D,16,8
13:20:44,1,13,Arriving,A,1872,16
13:21:45,1,13,Leaving,A,1952,56
